createTime|dependencyTime|personId|loanId|loanAmount|balance|loanUsage|interestRate|org
1669935267063|1635731052860|17592186045733|4911175393647527665|70632018.0|70632018.0|funerals|0.027|OneMain Financial
1669935341710|1590541394268|2199023261652|4911175393647534112|48876187.0|48876187.0|medical expenses|0.034|Fundbox
1669949684760|1628111576919|15393162795891|4911456868624245997|60042630.0|60042630.0|investing|0.035|American Express
1669952170946|1620484849153|13194139538222|4911456868624243119|82122054.0|82122054.0|other|0.022|Upstart
1669958494167|1636920795594|19791209307528|4911456868624246719|38991064.0|38991064.0|other|0.051|BlueVine
1669959381379|1586785037782|2199023259158|4911456868624241378|83090784.0|83090784.0|weddings|0.046|Patch of Land
1669962924477|1621869464921|13194139541199|4911456868624247195|39411276.0|39411276.0|renovations|0.017|Capital One
1669967070067|1621094713007|13194139540865|4911456868624246709|2100860.0|2100860.0|vacations|0.03|US Bank
1669974717942|1587616032845|2199023257225|4911456868624238808|94519781.0|94519781.0|major purchases|0.025|Wells Fargo
1669975775353|1621807566368|13194139535919|4911456868624240076|35819410.0|35819410.0|renovations|0.096|Patch of Land
1669976127159|1586515598738|2199023259484|4911456868624241841|44038594.0|44038594.0|major purchases|0.044|Earnest
1669980098853|1588645326986|2199023261851|4911456868624245039|74985359.0|74985359.0|education|0.012|Marcus by Goldman Sachs
1669980822841|1640531497620|19791209306688|4911456868624245590|16229196.0|16229196.0|business ventures|0.092|Funding Circle
1669980884261|1612982328343|10995116280006|4911456868624239555|98913806.0|98913806.0|weddings|0.011|Citibank
1669981661596|1603911160663|6597069774511|4911456868624247142|48015717.0|48015717.0|other|0.07|Prosper
1669983055762|1610197085951|8796093022821|4911456868624237378|32520444.0|32520444.0|debt consolidation|0.028|BlueVine
1669986583156|1584590863903|2199023261477|4911456868624244530|24546448.0|24546448.0|other|0.07|Bank of America
1669993122554|1599111335480|6597069770983|4911456868624242308|33485744.0|33485744.0|investing|0.04|Roofstock
1669998782448|1629389967422|15393162793588|4911456868624242859|86555658.0|86555658.0|investing|0.007|Bank of America
1669998904004|1640291907639|19791209306459|4911456868624245287|47376133.0|47376133.0|major purchases|0.077|American Express
1670004775578|1597190734565|4398046517775|4911456868624245520|35436044.0|35436044.0|weddings|0.009|SoFi
1670005007664|1627736139433|15393162794506|4911456868624244154|68518854.0|68518854.0|investing|0.063|LightStream
1670008508106|1601652739029|6597069767696|4911456868624237951|78838454.0|78838454.0|debt consolidation|0.018|Upgrade
1670013331252|1611078608106|10995116285033|4911456868624246324|90021908.0|90021908.0|medical expenses|0.023|Earnest
1670014553690|1628961500190|15393162790260|4911456868624238449|32857237.0|32857237.0|weddings|0.079|Fundrise
1670020731325|1611572738386|10995116278663|4911456868624237757|15442926.0|15442926.0|renovations|0.0|Discover
1670023650591|1619747519868|13194139536794|4911738343600951878|78868942.0|78868942.0|weddings|0.069|Roofstock
1670023995082|1591582172311|4398046513789|4911738343600950835|29512901.0|29512901.0|other|0.043|Capital One
1670026181765|1582432825608|3512|4911738343600951925|19012225.0|19012225.0|medical expenses|0.016|Kabbage
1670026315993|1594745030080|4398046513838|4911738343600950908|34098604.0|34098604.0|weddings|0.098|Discover
1670028558826|1606037383285|8796093028178|4911738343600955243|95105617.0|95105617.0|business ventures|0.077|PNC Bank
1670038582016|1583210485511|7084|4911738343600956721|18464777.0|18464777.0|debt consolidation|0.061|Upgrade
1670039372906|1581174881858|1687|4911738343600949488|19654351.0|19654351.0|debt consolidation|0.067|Wells Fargo
1670045354097|1622867146991|13194139540708|4911738343600957145|73962723.0|73962723.0|education|0.053|Capital One
1670047522835|1606206299260|8796093028148|4911738343600955209|38278136.0|38278136.0|education|0.026|LightStream
1670057530960|1615509691558|10995116278431|4911738343600948106|95263305.0|95263305.0|funerals|0.091|Earnest
1670062906863|1608712779002|8796093022365|4911738343600947437|17610996.0|17610996.0|renovations|0.098|Capital One
1670063869935|1625692900344|15393162794672|4911738343600955029|70302578.0|70302578.0|funerals|0.034|Chase Bank
1670070849020|1604295121636|8796093024691|4911738343600950549|3499051.0|3499051.0|major purchases|0.029|Capital One
1670072657676|1633471172968|17592186052220|4911738343600957722|15570298.0|15570298.0|medical expenses|0.021|Fundrise
1670078816713|1635067232570|17592186050334|4911738343600955178|45477569.0|45477569.0|renovations|0.073|LendingPoint
1670083392740|1633499726174|17592186051885|4911738343600957242|46647646.0|46647646.0|renovations|0.011|American Express
1670083770809|1631843438119|17592186051288|4911738343600956468|85505703.0|85505703.0|funerals|0.011|State Farm Bank
1670085022518|1599715876039|6597069773049|4911738343600955795|64522470.0|64522470.0|major purchases|0.042|American Express
1670096544055|1586236075081|2199023261854|4911738343600955698|33394950.0|33394950.0|weddings|0.099|Rocket Loans
1670114610782|1589504066176|2199023260034|4912019818577663813|57980833.0|57980833.0|education|0.045|Patch of Land
1670114717025|1637023309897|19791209302830|4912019818577661728|4069618.0|4069618.0|vacations|0.071|Kabbage
1670118911056|1634021492434|17592186047360|4912019818577661823|41878191.0|41878191.0|major purchases|0.053|Earnest
1670119649759|1588940714107|2199023255855|4912019818577658277|72087439.0|72087439.0|education|0.026|Rocket Loans
1670119834593|1609961816664|8796093025043|4912019818577661701|37331372.0|37331372.0|debt consolidation|0.005|Best Egg
1670123239106|1593301483474|4398046517395|4912019818577666332|38296017.0|38296017.0|weddings|0.031|Rocket Loans
1670130497905|1599544873461|6597069774628|4912019818577668614|32856692.0|32856692.0|education|0.021|Earnest
1670131116411|1628272857259|15393162794279|4912019818577665130|99313483.0|99313483.0|medical expenses|0.066|Wells Fargo
1670135483858|1623065414852|13194139538463|4912019818577664774|94604446.0|94604446.0|business ventures|0.079|US Bank
1670143591841|1606630434845|8796093026128|4912019818577663138|23300136.0|23300136.0|weddings|0.039|American Express
1670151460973|1638888413878|19791209307039|4912019818577667359|93840482.0|93840482.0|education|0.093|Citibank
1670157613433|1637783598598|19791209300529|4912019818577658618|97977911.0|97977911.0|investing|0.092|OnDeck
1670161654434|1583731950585|1126|4912019818577659393|81286614.0|81286614.0|renovations|0.054|Wells Fargo
1670165723291|1585350407535|2199023258078|4912019818577661278|27392958.0|27392958.0|major purchases|0.019|Roofstock
1670167821684|1588506752355|2199023262267|4912019818577666894|64455642.0|64455642.0|investing|0.019|Avant
1670169437017|1596446691887|4398046515256|4912019818577663432|54940648.0|54940648.0|major purchases|0.034|Bank of America
1670174730257|1604773307279|8796093029937|4912019818577668287|98872301.0|98872301.0|major purchases|0.083|Kabbage
1670191307352|1607861053886|8796093023269|4912019818577659298|17791176.0|17791176.0|weddings|0.05|Marcus by Goldman Sachs
1670191367012|1602877296335|6597069771150|4912019818577663844|62608561.0|62608561.0|renovations|0.081|Fundbox
1670193688017|1638888413878|19791209307039|4912019818577667360|89088950.0|89088950.0|weddings|0.021|Rocket Loans
1670197069463|1611315369385|10995116280347|4912301293554372005|56982669.0|56982669.0|renovations|0.052|American Express
1670214179335|1639062051650|19791209304494|4912301293554374535|91926732.0|91926732.0|business ventures|0.03|Upstart
1670216550299|1637266434407|19791209303654|4912301293554373452|37967271.0|37967271.0|medical expenses|0.003|Fundrise
1670225519189|1598872368195|6597069767077|4912301293554369076|49230745.0|49230745.0|renovations|0.018|Marcus by Goldman Sachs
1670226752718|1624850224525|15393162789364|4912301293554369183|97381976.0|97381976.0|funerals|0.088|Peerform
1670228945891|1597190734565|4398046517775|4912301293554377489|8617112.0|8617112.0|investing|0.069|Best Egg
1670232013022|1639859781286|19791209305001|4912301293554375261|86754554.0|86754554.0|vacations|0.054|Fundrise
1670245083300|1608061786804|8796093029486|4912301293554378303|84378009.0|84378009.0|other|0.002|Patch of Land
1670271261187|1593635229879|4398046519014|4912301293554379198|87210294.0|87210294.0|education|0.08|Funding Circle
1670274085671|1592013078275|4398046513156|4912301293554371272|84923169.0|84923169.0|vacations|0.071|Chase Bank
1670281856623|1624430491391|15393162789537|4912301293554369420|99052316.0|99052316.0|major purchases|0.013|Kabbage
1670286628446|1630276735364|17592186046315|4912582768531081725|79618245.0|79618245.0|major purchases|0.004|Marcus by Goldman Sachs
1670290183105|1582978374667|7174|4912582768531088806|90456635.0|90456635.0|business ventures|0.032|Patch of Land
1670290397327|1633543872142|17592186047919|4912582768531083876|56585051.0|56585051.0|funerals|0.045|OnDeck
1670304378789|1628111576919|15393162795891|4912582768531088619|42157038.0|42157038.0|education|0.036|Wells Fargo
1670317690995|1592183184852|4398046514169|4912582768531083300|80261627.0|80261627.0|business ventures|0.003|Upgrade
1670329814983|1637344925576|19791209303915|4912582768531084488|55948431.0|55948431.0|other|0.033|Navy Federal Credit Union
1670333419783|1601349395695|6597069766750|4912582768531079314|82492340.0|82492340.0|vacations|0.088|Citibank
1670333725769|1581083126881|372|4912582768531079662|92439756.0|92439756.0|medical expenses|0.042|Avant
1670336019506|1621061610589|13194139537261|4912582768531084491|16028031.0|16028031.0|major purchases|0.092|LendingPoint
1670338364512|1630298724345|17592186046471|4912582768531081934|42116744.0|42116744.0|major purchases|0.086|Chase Bank
1670341598784|1637695388138|19791209304008|4912582768531084618|70257414.0|70257414.0|investing|0.064|Discover
1670355869974|1579799151110|263|4912582768531079550|47462777.0|47462777.0|renovations|0.012|Wells Fargo
1670356926676|1633020665489|17592186051904|4912582768531089233|15813160.0|15813160.0|other|0.003|Marcus by Goldman Sachs
1670362670075|1582786639811|5586|4912582768531086702|9718542.0|9718542.0|funerals|0.053|Discover
1670363199342|1625740181827|15393162790270|4912582768531081088|23195609.0|23195609.0|business ventures|0.067|Capital One
1670365866160|1635386722628|17592186050098|4912582768531086839|39961772.0|39961772.0|renovations|0.1|Rocket Loans
1670382055542|1638956271557|19791209305028|4912864243507796597|19704090.0|19704090.0|renovations|0.091|PNC Bank
1670383767832|1611806236525|10995116279058|4912864243507791577|91328378.0|91328378.0|other|0.035|PNC Bank
1670393105694|1610233057589|8796093029452|4912864243507799565|68282887.0|68282887.0|renovations|0.047|SoFi
1670394922235|1629050636738|15393162794742|4912864243507797746|37816944.0|37816944.0|medical expenses|0.052|Fundbox
1670407127407|1624508887313|15393162791098|4912864243507792816|27782240.0|27782240.0|other|0.038|Bank of America
1670407790094|1610499415760|8796093028231|4912864243507797931|48368790.0|48368790.0|major purchases|0.03|Capital One
1670414949310|1640295946450|19791209304396|4912864243507795711|28608650.0|28608650.0|business ventures|0.062|OneMain Financial
1670417456648|1639369815078|19791209302279|4912864243507792945|28900778.0|28900778.0|business ventures|0.035|Fundbox
1670418851339|1593355122912|4398046513187|4912864243507792633|14099436.0|14099436.0|business ventures|0.026|Upgrade
1670419479381|1589737159987|2199023256264|4912864243507790776|46571031.0|46571031.0|debt consolidation|0.097|State Farm Bank
1670419753595|1607680453598|8796093029065|4912864243507799078|70364608.0|70364608.0|vacations|0.097|Peerform
1670434233469|1626731276722|15393162792047|4912864243507794120|26615168.0|26615168.0|investing|0.039|Avant
1670434477002|1615900145771|10995116279306|4912864243507791917|45627968.0|45627968.0|funerals|0.017|Citibank
1670435288529|1620151341649|13194139537550|4912864243507795475|20929685.0|20929685.0|major purchases|0.056|OnDeck
1670438202056|1629485102087|15393162794448|4912864243507797354|75360687.0|75360687.0|medical expenses|0.05|Upstart
1670445260452|1638780300332|19791209304675|4912864243507796117|31640036.0|31640036.0|funerals|0.082|LendingClub
1670446938367|1588167159381|2199023262340|4912864243507798976|14043844.0|14043844.0|medical expenses|0.041|Prosper
1670455145908|1612060289347|10995116285003|4912864243507799563|77534579.0|77534579.0|investing|0.038|LendingPoint
1670455848872|1623391508181|13194139538238|4913145718484507084|91196874.0|91196874.0|medical expenses|0.028|LendingPoint
1670456420818|1591040848963|4398046514592|4913145718484505170|31423520.0|31423520.0|funerals|0.003|LendingClub
1670465141955|1623323642767|13194139539955|4913145718484509416|71306379.0|71306379.0|investing|0.076|Rocket Loans
1670467257540|1614393207610|10995116281722|4913145718484505835|76088061.0|76088061.0|major purchases|0.055|TD Bank
1670475246760|1601490161633|6597069771784|4913145718484507362|49576441.0|49576441.0|education|0.079|Best Egg
1670478203225|1590672664350|2199023258145|4913145718484503982|29306028.0|29306028.0|weddings|0.0|Capital One
1670487693697|1631516137631|17592186045752|4913145718484502299|296732.0|296732.0|weddings|0.04|American Express
1670497055421|1637521641346|19791209304708|4913145718484506830|80641352.0|80641352.0|vacations|0.068|Marcus by Goldman Sachs
1670502815336|1609220129236|8796093022424|4913145718484500787|40479700.0|40479700.0|investing|0.013|LightStream
1670510299786|1619006226029|13194139533895|4913145718484501276|31918544.0|31918544.0|funerals|0.021|Marcus by Goldman Sachs
1670514234404|1599848354581|6597069774632|4913145718484511247|61185332.0|61185332.0|medical expenses|0.026|American Express
1670524963567|1640167564870|19791209305088|4913145718484507348|50353136.0|50353136.0|medical expenses|0.047|Citibank
1670539189086|1616813860496|10995116281542|4913145718484505567|98310026.0|98310026.0|business ventures|0.094|Citibank
1670546945959|1635784518521|17592186052286|4913427193461221760|49956796.0|49956796.0|debt consolidation|0.057|Discover
1670547931681|1599321726763|6597069768815|4913427193461214025|12739274.0|12739274.0|investing|0.004|American Express
1670550147291|1591982098309|4398046518996|4913427193461221799|5829134.0|5829134.0|other|0.091|State Farm Bank
1670551761898|1637147304448|19791209302096|4913427193461213986|78483702.0|78483702.0|medical expenses|0.075|US Bank
1670552673228|1624766023135|15393162796697|4913427193461221699|61370174.0|61370174.0|renovations|0.004|Fundbox
1670552862850|1636225158423|17592186051843|4913427193461221122|41702114.0|41702114.0|business ventures|0.066|PNC Bank
1670557908045|1627780392461|15393162795820|4913427193461220504|14767592.0|14767592.0|renovations|0.015|LightStream
1670575334693|1633431429372|17592186048548|4913427193461216678|73977534.0|73977534.0|education|0.058|Discover
1670579405369|1605542520546|8796093026147|4913427193461216440|90745595.0|90745595.0|business ventures|0.081|Upgrade
1670581800061|1633676994781|17592186044559|4913427193461211345|18902798.0|18902798.0|education|0.066|Bank of America
1670585500514|1639581684510|19791209306289|4913427193461219652|33107607.0|33107607.0|education|0.095|TD Bank
1670595371068|1639197214227|19791209304177|4913427193461216767|29328283.0|29328283.0|vacations|0.081|Roofstock
1670596836120|1637857771414|19791209303009|4913427193461215237|79916991.0|79916991.0|vacations|0.03|LendingClub
1670597507443|1630068643661|15393162794326|4913427193461218486|96726331.0|96726331.0|funerals|0.085|Avant
1670597783557|1636002462583|17592186046761|4913427193461214307|20349542.0|20349542.0|investing|0.095|Citibank
1670604393085|1640402341635|19791209302194|4913427193461214120|41216005.0|41216005.0|investing|0.098|OnDeck
1670610193157|1621543182680|13194139538641|4913427193461218303|86239184.0|86239184.0|business ventures|0.006|Patch of Land
1670613469181|1615286782390|10995116279273|4913427193461213184|36398434.0|36398434.0|education|0.009|Wells Fargo
1670615282779|1612947106683|10995116279444|4913427193461213418|32771664.0|32771664.0|investing|0.075|OneMain Financial
1670615789714|1631635299950|17592186045569|4913427193461212715|19494689.0|19494689.0|weddings|0.042|BlueVine
1670615868405|1600350717100|6597069771918|4913427193461218215|20788491.0|20788491.0|business ventures|0.057|PNC Bank
1670628945839|1588038635721|2199023258625|4913708668437925934|2270241.0|2270241.0|education|0.094|Fundbox
1670633201537|1604965626216|8796093028757|4913708668437930613|59940309.0|59940309.0|other|0.012|Avant
1670633562219|1593689369391|4398046518312|4913708668437931488|97225389.0|97225389.0|business ventures|0.065|RealtyMogul
1670637236868|1622987331988|13194139540566|4913708668437931543|37574186.0|37574186.0|other|0.097|Rocket Loans
1670655541120|1596817273208|4398046511952|4913708668437922931|81453080.0|81453080.0|debt consolidation|0.051|US Bank
1670656270012|1633646425712|17592186045802|4913708668437923680|28516427.0|28516427.0|renovations|0.067|Fundbox
1670668451985|1615587021757|10995116281006|4913708668437926166|17085860.0|17085860.0|other|0.059|Chase Bank
1670682647908|1637761872149|19791209302813|4913708668437925649|25325608.0|25325608.0|other|0.004|Discover
1670691608449|1625740181827|15393162790270|4913708668437923711|72325239.0|72325239.0|business ventures|0.03|BlueVine
1670695248520|1637121385998|19791209301361|4913708668437923688|47046343.0|47046343.0|funerals|0.001|Bank of America
1670700164498|1617239185797|13194139536285|4913708668437925811|60117305.0|60117305.0|investing|0.032|Marcus by Goldman Sachs
1670706608927|1630177462759|17592186049290|4913708668437928305|58851254.0|58851254.0|education|0.02|Best Egg
1670718457777|1609218539221|8796093028433|4913990143414640835|82825031.0|82825031.0|debt consolidation|0.068|Citibank
1670723797665|1613078488879|10995116284275|4913990143414641218|54296632.0|54296632.0|major purchases|0.091|Earnest
1670724361546|1622102990496|13194139540729|4913990143414642419|55468342.0|55468342.0|debt consolidation|0.029|Patch of Land
1670727645646|1602307213433|6597069772045|4913990143414639680|93051269.0|93051269.0|business ventures|0.011|State Farm Bank
1670730332585|1597687541389|6597069766857|4913990143414632737|44973290.0|44973290.0|other|0.092|US Bank
1670732651159|1622015235473|13194139540062|4913990143414641539|27092177.0|27092177.0|funerals|0.069|RealtyMogul
1670734222957|1632945640037|17592186050484|4913990143414640630|75945188.0|75945188.0|investing|0.042|Best Egg
1670737005779|1599763612568|6597069770407|4913990143414637483|34074162.0|34074162.0|major purchases|0.023|Marcus by Goldman Sachs
1670744556666|1585431199475|2199023260223|4913990143414638704|3525594.0|3525594.0|investing|0.056|SoFi
1670749798932|1603430155931|6597069769514|4913990143414636317|75911258.0|75911258.0|vacations|0.081|LendingPoint
1670754301144|1611345694758|10995116278157|4913990143414632976|76462350.0|76462350.0|education|0.035|SunTrust
1670768187272|1626399377902|15393162795071|4913990143414640804|63857194.0|63857194.0|vacations|0.05|Fundbox
1670776691800|1586801479501|2199023261428|4913990143414640368|32110448.0|32110448.0|business ventures|0.093|Citibank
1670781116031|1628198959349|15393162792746|4913990143414637664|20291198.0|20291198.0|funerals|0.052|Capital One
1670790547018|1588818723668|2199023262525|4913990143414641842|36702529.0|36702529.0|vacations|0.058|Roofstock
1670799585442|1620197507791|13194139539721|4913990143414641069|4886314.0|4886314.0|debt consolidation|0.017|Marcus by Goldman Sachs
1670808729084|1639414378413|19791209303730|4914271618391348155|86887126.0|86887126.0|education|0.064|LendingPoint
1670809220035|1615330166673|10995116279364|4914271618391345281|24617572.0|24617572.0|business ventures|0.037|Prosper
1670809707569|1633775611504|17592186047538|4914271618391347327|82478008.0|82478008.0|other|0.005|Earnest
1670818416829|1638534944210|19791209300120|4914271618391343331|25982806.0|25982806.0|other|0.013|Avant
1670821245032|1581977418847|3098|4914271618391347283|96014677.0|96014677.0|renovations|0.075|Avant
1670827003099|1637934799404|19791209305138|4914271618391350045|88042327.0|88042327.0|major purchases|0.077|American Express
1670834252189|1640084759701|19791209302606|4914271618391346686|91522484.0|91522484.0|education|0.008|BlueVine
1670835343616|1598112344483|6597069772065|4914271618391350362|14723803.0|14723803.0|other|0.072|BlueVine
1670851662698|1617682304978|13194139537477|4914271618391348693|4385778.0|4385778.0|debt consolidation|0.087|State Farm Bank
1670858257939|1624208402290|15393162792245|4914271618391347651|78681268.0|78681268.0|renovations|0.031|Kabbage
1670858314761|1605733008915|8796093029619|4914271618391353071|33025467.0|33025467.0|funerals|0.056|Citibank
1670863338870|1634056258793|17592186046836|4914271618391346373|12926339.0|12926339.0|weddings|0.022|US Bank
1670864683511|1592763618280|4398046517532|4914271618391351758|25127540.0|25127540.0|vacations|0.081|Prosper
1670868159314|1632143383194|17592186044802|4914271618391343619|25771155.0|25771155.0|investing|0.096|SunTrust
1670873158779|1631917204819|17592186049213|4914271618391349506|69318943.0|69318943.0|renovations|0.002|PNC Bank
1670874754474|1627898027746|15393162789963|4914271618391344603|57117079.0|57117079.0|business ventures|0.097|Chase Bank
1670875744586|1597258669017|4398046514170|4914271618391347239|4003750.0|4003750.0|funerals|0.08|Discover
1670878982710|1611281079958|10995116282953|4914271618391350071|69774538.0|69774538.0|funerals|0.012|SoFi
1670880110638|1598791435815|6597069772103|4914271618391350428|68506011.0|68506011.0|vacations|0.065|Patch of Land
1670882484266|1590536167459|2199023259867|4914271618391348857|31508157.0|31508157.0|business ventures|0.078|Fundbox
1670883553934|1630950164778|17592186046887|4914271618391346442|22957869.0|22957869.0|other|0.011|RealtyMogul
1670885368994|1592240654124|4398046512749|4914271618391345334|53699018.0|53699018.0|other|0.026|Roofstock
1670899958680|1615075899063|10995116279184|4914553093368055697|95495570.0|95495570.0|other|0.005|Upstart
1670905801623|1626058591446|15393162789791|4914553093368055006|9730527.0|9730527.0|debt consolidation|0.052|Funding Circle
1670908925987|1608861876455|8796093024830|4914553093368057318|83611651.0|83611651.0|weddings|0.074|Roofstock
1670910241479|1584838920154|2199023259698|4914553093368059323|82489166.0|82489166.0|vacations|0.036|Kabbage
1670912442250|1626389554949|15393162792891|4914553093368059194|375226.0|375226.0|renovations|0.032|Funding Circle
1670918811251|1601432283909|6597069769996|4914553093368058261|21837590.0|21837590.0|investing|0.009|Upgrade
1670921736706|1635201460608|17592186049295|4914553093368060284|72134359.0|72134359.0|renovations|0.081|BlueVine
1670936289150|1638142829497|19791209303160|4914553093368058079|36659158.0|36659158.0|renovations|0.049|Upgrade
1670937137952|1587060444690|2199023256784|4914553093368055430|35194790.0|35194790.0|other|0.015|Roofstock
1670958302610|1599570159794|6597069768160|4914553093368055799|97224846.0|97224846.0|weddings|0.041|Citibank
1670958503134|1630682619971|17592186048219|4914553093368058887|11700101.0|11700101.0|major purchases|0.076|Fundbox
1670964870029|1581765812610|1146|4914553093368055329|21914608.0|21914608.0|weddings|0.096|Fundbox
1670969724065|1632565393467|17592186049644|4914553093368060790|44588978.0|44588978.0|debt consolidation|0.076|State Farm Bank
1670976484045|1602468144891|6597069772433|4914834568344772200|21836579.0|21836579.0|vacations|0.054|Wells Fargo
1670995504688|1624853479264|15393162791045|4914834568344767342|2233578.0|2233578.0|investing|0.097|State Farm Bank
1671006834269|1618296400333|13194139536435|4914834568344768641|22411788.0|22411788.0|medical expenses|0.062|Roofstock
1671007568774|1584773145987|2199023257353|4914834568344766843|96162558.0|96162558.0|funerals|0.037|Fundrise
1671012240009|1638693386879|19791209304993|4914834568344771158|51087333.0|51087333.0|education|0.048|Best Egg
1671012789656|1632718844710|17592186046971|4914834568344767880|12831440.0|12831440.0|major purchases|0.018|LendingPoint
1671014943147|1592688983860|4398046512186|4914834568344765883|69395323.0|69395323.0|investing|0.006|BlueVine
1671021000385|1601136928791|6597069772686|4914834568344772532|29035470.0|29035470.0|medical expenses|0.037|Fundrise
1671030292628|1613564602056|10995116282386|4914834568344770610|15916789.0|15916789.0|business ventures|0.077|SoFi
1671049232406|1610057777185|8796093023431|4914834568344766073|20972643.0|20972643.0|vacations|0.021|Navy Federal Credit Union
1671052469687|1639721719205|19791209305848|4914834568344772344|35065751.0|35065751.0|medical expenses|0.011|Upgrade
1671056882306|1640199052871|19791209304106|4914834568344769968|719871.0|719871.0|medical expenses|0.09|Fundrise
1671057653170|1611782480559|10995116284678|4914834568344773736|75627686.0|75627686.0|education|0.091|SoFi
1671060345392|1588130389758|2199023263330|4914834568344774908|81001938.0|81001938.0|medical expenses|0.038|Capital One
1671088381656|1590491797725|2199023261968|4915116043321483710|47543500.0|47543500.0|debt consolidation|0.071|Discover
1671091342074|1614974791466|10995116281032|4915116043321479487|52984726.0|52984726.0|weddings|0.049|SoFi
1671098035357|1631843438119|17592186051288|4915116043321484342|30422627.0|30422627.0|weddings|0.004|Marcus by Goldman Sachs
1671102341016|1639304401886|19791209307551|4915116043321485293|43070078.0|43070078.0|investing|0.006|Funding Circle
1671116931774|1627249477202|15393162789256|4915116043321475595|73187883.0|73187883.0|investing|0.09|Upgrade
1671119268879|1593220913682|4398046517772|4915116043321484045|49564915.0|49564915.0|weddings|0.008|Earnest
