createTime|dependencyTime|fromId|toId|relation
1670700977457|1640506805814|828|19791209307624|parents
1670741730587|1631479634423|2199023256506|17592186048884|business associate
1670743881918|1639267154128|8796093023320|19791209300741|business associate
1670773833621|1637914452260|19791209307660|13194139539200|friends
1670774938960|1636823583439|4398046514076|19791209307270|friends
1670788492935|1615876040797|6597069770537|10995116283498|siblings
1670791195274|1630990690630|5547|17592186050577|friends
1670820046671|1631196707119|17592186052040|8796093022640|parents
1670820442342|1592950251839|4398046518283|2094|friends
1670841903905|1615686964251|10995116285625|7978|parents
1670879062312|1605194758110|1613|8796093025571|other relatives
1670881713975|1624664736112|2199023262087|15393162789612|parents
1670891806302|1630699384650|17592186047185|15393162796795|business associate
1670893862010|1626289212463|15393162790783|5404|friends
1670935108161|1626731276722|13194139535386|15393162792047|friends
1670942853257|1610499415760|6940|8796093028231|parents
1670974863948|1626898202043|15393162793157|6597069773659|friends
1671030061236|1627828065791|6597069767523|15393162796044|siblings
1671036969689|1637801533475|19791209305370|15393162794326|other relatives
1671063297854|1633487804435|17592186050325|17592186047412|business associate
1671097906867|1633907734215|17592186045127|1261|other relatives
1671098284438|1638008112065|19791209304793|13194139539279|siblings
1671098390328|1633471172968|17592186052220|15393162792618|parents
1671100654888|1586029311437|4949|2199023261942|business associate
1671101105992|1600273934405|6597069767769|5333|siblings
1671104693978|1640930613310|6597069773721|19791209304827|other relatives
1671109884587|1633379652810|6597069767929|17592186049629|parents
1671111367132|1620071276882|13194139540892|8796093022377|friends
1671111892805|1626433181790|15393162792143|4398046518222|friends
1671117902654|1622036445970|6888|13194139534857|siblings
1671125240781|1607304416020|6832|8796093030038|siblings
1671142478293|1630125245252|17592186048473|4398046512028|parents
1671154365393|1618412632397|8796093028475|13194139540048|friends
1671167973012|1622537816293|13194139540140|8796093023834|friends
1671171452818|1608947807324|8796093023670|4398046511325|siblings
1671202973647|1635271702418|2199023263376|17592186046425|siblings
1671219401755|1633419082846|17592186052225|8796093022589|friends
1671223606673|1619559286428|7939|13194139535956|siblings
1671256331576|1608217666746|8796093029290|8796093022377|parents
1671273112013|1628592286703|15393162793874|4398046514078|friends
1671293428794|1580772235327|7322|2267|business associate
1671297845390|1620963415559|13194139538771|4398046518148|siblings
1671319377554|1626010849515|15393162789515|8796093024823|siblings
1671333904392|1627366143231|15393162794976|6597069773442|siblings
1671335364258|1637868734901|19791209304697|8796093025114|other relatives
1671341827131|1593312654535|4398046511221|4398046516005|other relatives
1671356675203|1633725427096|17592186047624|13194139538474|friends
1671363210155|1606209202163|8796093029977|2199023260939|friends
1671370143711|1640817834473|15393162796428|19791209307233|friends
1671409046327|1635473712467|17592186048118|2199023260599|business associate
1671417685598|1633100012631|2586|17592186044643|business associate
1671443439764|1628744115597|15393162789616|1799|siblings
1671444185467|1621157990802|13194139538986|10995116285214|other relatives
1671450163512|1625805364986|10995116283403|15393162790994|business associate
1671468705925|1612527077595|3094|10995116278720|siblings
1671475775033|1632704207795|17592186049677|10995116285664|siblings
1671501313910|1625805364986|15393162790994|7028|friends
1671527659213|1617582477279|13194139539855|4398046517555|siblings
1671535104658|1633646425712|4398046513598|17592186045802|business associate
1671546090959|1633041043274|17592186046660|8796093022894|parents
1671557282249|1610717591063|10995116279706|4398046514123|parents
1671572833746|1630408102212|6597069773350|17592186045708|parents
1671594897371|1621663792647|13194139538870|13194139536205|siblings
1671598116338|1638012371806|19791209301198|6597069766835|parents
1671633036893|1634800637121|17592186050977|8796093028200|business associate
1671647076457|1635731052860|17592186045733|8796093029429|friends
1671652487624|1586815915199|2199023259533|2199023261024|siblings
1671680366591|1634729800033|17592186047600|4398046514352|siblings
1671685875314|1621347286689|8796093025563|13194139535902|friends
1671689800078|1615754532713|10995116284435|2199023261702|parents
1671691894555|1604832229541|8796093024593|6597069773168|parents
1671716010879|1622322263605|4644|13194139538829|business associate
1671718820154|1628925775979|15393162792135|10995116281895|friends
1671722730654|1616487583247|10995116282508|2199023255952|siblings
1671737458997|1625258278990|15393162793545|6597069769344|parents
1671742259049|1623378035442|6597069768768|13194139539114|other relatives
1671744208903|1630276735364|17592186046315|2046|business associate
1671751659587|1638100905238|4398046513187|19791209304826|business associate
1671754968148|1618446112438|13194139536311|4398046515813|siblings
1671755011394|1631482167113|17592186049308|10995116282417|friends
1671767399350|1611132453963|10995116280424|4398046518276|friends
1671794236470|1637858318105|19791209306782|17592186045467|siblings
1671797492386|1635492537263|17592186046288|10995116279137|friends
1671798116445|1628281660103|15393162789206|15393162793112|siblings
1671803634225|1627422061191|15393162792675|15393162792642|parents
1671807012691|1614514769294|10995116280861|2199023259619|parents
1671831783175|1633785892337|17592186049489|2199023257593|parents
1671851779630|1632306879874|17592186052123|2199023258816|parents
1671867083279|1638079814341|19791209305940|6597069771918|friends
1671867198040|1622847179033|13194139541203|6597069771949|friends
1671889874597|1611960624872|10995116282870|8796093025909|friends
1671905481363|1618412632397|13194139540048|4398046511677|business associate
1671913772947|1639587160943|19791209303769|8796093027815|friends
1671915879205|1629124183188|6597069773158|15393162796368|parents
1671931345598|1639369815078|13194139534847|19791209302279|other relatives
1671944102985|1627475319070|15393162793616|2199023258902|friends
1671970381235|1589928215944|2199023262706|2199023262170|parents
1671979636913|1622497399099|13194139535285|13194139533477|business associate
1671990870688|1621084615300|4398046511448|13194139539032|friends
1671992235909|1631781052836|4398046512212|17592186049301|business associate
1671995985410|1633311990547|8796093024096|17592186046936|siblings
1671998386268|1584993949221|2199023259533|2199023259966|friends
1672020092056|1623954518523|15393162792405|2199023255855|siblings
1672021005137|1615872614714|10995116279800|5412|siblings
1672025837912|1595784684179|3239|4398046511266|friends
1672027585361|1601396375151|6597069772786|6362|friends
1672083439818|1624511566216|15393162791563|15393162793459|friends
1672111637736|1626100186028|15393162796641|8796093028585|friends
1672156733653|1616722344899|10995116284152|6597069771183|other relatives
1672164888834|1616046801756|7322|10995116277775|business associate
1672176114963|1611697100479|8796093024749|10995116278096|parents
1672267653987|1639642926712|19791209304062|13194139535690|friends
1672299402719|1603874365014|6597069766673|6597069772740|friends
1672305424372|1630378948875|17592186050437|2199023261793|other relatives
1672314228104|1603353356754|6597069768134|4398046514943|parents
1672321668315|1601508502161|6597069767346|6597069768755|other relatives
1672328016766|1622868075905|13194139537356|2199023259558|parents
1672336024553|1603911160663|6597069774511|4398046518527|siblings
1672336904628|1632020364182|17592186051421|13194139539222|friends
1672348161583|1619785715587|2199023260545|13194139535120|parents
1672359028884|1631718499482|15393162796044|17592186050256|siblings
1672367564404|1638702963852|19791209306138|10995116280139|business associate
1672383962808|1601222309681|2199023259108|6597069769477|siblings
1672399768181|1629654312674|15393162789380|13194139538647|parents
1672400561695|1638573900733|8796093030010|19791209307758|parents
1672402580135|1640930613310|19791209303005|19791209304827|friends
1672412658079|1634322978206|17592186046047|8796093029713|parents
1672417549995|1627892901881|15393162789699|4398046518305|friends
1672420779071|1602164597703|6597069771008|2199023261622|friends
1672423554616|1592375351885|4398046518776|3663|siblings
1672451474275|1640567849043|19791209306847|2199023263160|parents
1672496953035|1616000624118|10995116280067|6597069769881|siblings
1672501953437|1633139895302|10995116285108|17592186050933|parents
1672515865955|1631693538635|6597069769361|17592186045533|business associate
1672528517911|1628873253589|13194139538810|15393162793893|business associate
